step 0: train loss 4.2324, val loss 4.2303
iter 0: loss 4.2310, time 3407.84ms, mfu -100.00%
iter 10: loss 4.1007, time 586.36ms, mfu 7.93%
iter 20: loss 3.8299, time 453.76ms, mfu 8.16%
iter 30: loss 3.6049, time 440.00ms, mfu 8.40%
iter 40: loss 3.4265, time 460.26ms, mfu 8.57%
iter 50: loss 3.3033, time 450.28ms, mfu 8.75%
iter 60: loss 3.1292, time 419.22ms, mfu 8.98%
iter 70: loss 3.0316, time 430.70ms, mfu 9.16%
iter 80: loss 2.9374, time 423.63ms, mfu 9.34%
iter 90: loss 2.8720, time 399.35ms, mfu 9.57%
iter 100: loss 2.8206, time 406.60ms, mfu 9.76%
iter 110: loss 2.7520, time 405.61ms, mfu 9.93%
iter 120: loss 2.7277, time 411.67ms, mfu 10.07%
iter 130: loss 2.6986, time 392.27ms, mfu 10.24%
iter 140: loss 2.6759, time 399.96ms, mfu 10.38%
iter 150: loss 2.6524, time 407.76ms, mfu 10.48%
iter 160: loss 2.6158, time 409.82ms, mfu 10.57%
iter 170: loss 2.6087, time 454.56ms, mfu 10.54%
iter 180: loss 2.5632, time 397.59ms, mfu 10.65%
iter 190: loss 2.5806, time 417.38ms, mfu 10.70%
iter 200: loss 2.5463, time 403.67ms, mfu 10.78%
iter 210: loss 2.5187, time 403.58ms, mfu 10.86%
iter 220: loss 2.5081, time 416.81ms, mfu 10.89%
iter 230: loss 2.5000, time 400.32ms, mfu 10.96%
iter 240: loss 2.4888, time 413.08ms, mfu 10.99%
iter 250: loss 2.4534, time 399.59ms, mfu 11.05%
iter 260: loss 2.4638, time 405.84ms, mfu 11.09%
iter 270: loss 2.4659, time 482.50ms, mfu 10.95%
iter 280: loss 2.4577, time 448.61ms, mfu 10.89%
iter 290: loss 2.4383, time 407.88ms, mfu 10.94%
iter 300: loss 2.4382, time 399.65ms, mfu 11.01%
iter 310: loss 2.4098, time 410.68ms, mfu 11.04%
iter 320: loss 2.4340, time 404.81ms, mfu 11.09%
iter 330: loss 2.3861, time 395.14ms, mfu 11.15%
iter 340: loss 2.3775, time 396.03ms, mfu 11.21%
iter 350: loss 2.3560, time 401.68ms, mfu 11.25%
iter 360: loss 2.3323, time 390.64ms, mfu 11.31%
iter 370: loss 2.3067, time 404.16ms, mfu 11.33%
iter 380: loss 2.3087, time 404.84ms, mfu 11.35%
iter 390: loss 2.3010, time 405.60ms, mfu 11.36%
iter 400: loss 2.2868, time 402.96ms, mfu 11.38%
iter 410: loss 2.2679, time 418.33ms, mfu 11.35%
iter 420: loss 2.2566, time 404.69ms, mfu 11.36%
iter 430: loss 2.2179, time 397.55ms, mfu 11.40%
iter 440: loss 2.2245, time 403.63ms, mfu 11.41%
iter 450: loss 2.2027, time 417.93ms, mfu 11.38%
iter 460: loss 2.2296, time 404.44ms, mfu 11.39%
iter 470: loss 2.2003, time 422.42ms, mfu 11.35%
iter 480: loss 2.1702, time 400.62ms, mfu 11.38%
iter 490: loss 2.1664, time 417.17ms, mfu 11.36%
iter 500: loss 2.1561, time 395.67ms, mfu 11.40%
iter 510: loss 2.1561, time 428.23ms, mfu 11.34%
iter 520: loss 2.1190, time 398.69ms, mfu 11.37%
iter 530: loss 2.1171, time 426.33ms, mfu 11.33%
iter 540: loss 2.0915, time 399.60ms, mfu 11.36%
iter 550: loss 2.0701, time 407.36ms, mfu 11.36%
iter 560: loss 2.0689, time 399.65ms, mfu 11.39%
iter 570: loss 2.0460, time 437.50ms, mfu 11.31%
iter 580: loss 2.0349, time 392.76ms, mfu 11.37%
iter 590: loss 2.0296, time 406.22ms, mfu 11.37%
iter 600: loss 2.0142, time 401.90ms, mfu 11.39%
iter 610: loss 1.9901, time 411.29ms, mfu 11.38%
iter 620: loss 1.9700, time 445.22ms, mfu 11.29%
iter 630: loss 1.9710, time 408.80ms, mfu 11.30%
iter 640: loss 1.9425, time 391.45ms, mfu 11.36%
iter 650: loss 1.9183, time 390.70ms, mfu 11.41%
iter 660: loss 1.8930, time 397.96ms, mfu 11.44%
iter 670: loss 1.8999, time 401.07ms, mfu 11.45%
iter 680: loss 1.8914, time 402.07ms, mfu 11.46%
iter 690: loss 1.8468, time 402.55ms, mfu 11.47%
iter 700: loss 1.8591, time 403.00ms, mfu 11.48%
iter 710: loss 1.8324, time 394.70ms, mfu 11.51%
iter 720: loss 1.8398, time 413.94ms, mfu 11.48%
iter 730: loss 1.8440, time 413.46ms, mfu 11.46%
iter 740: loss 1.8257, time 392.79ms, mfu 11.50%
iter 750: loss 1.7692, time 401.04ms, mfu 11.51%
iter 760: loss 1.7898, time 409.79ms, mfu 11.49%
iter 770: loss 1.8120, time 408.38ms, mfu 11.48%
iter 780: loss 1.7452, time 390.83ms, mfu 11.52%
iter 790: loss 1.7557, time 394.34ms, mfu 11.55%
iter 800: loss 1.7092, time 399.52ms, mfu 11.56%
iter 810: loss 1.7232, time 400.58ms, mfu 11.56%
iter 820: loss 1.7164, time 393.66ms, mfu 11.59%
iter 830: loss 1.6991, time 402.31ms, mfu 11.58%
iter 840: loss 1.6735, time 405.75ms, mfu 11.57%
iter 850: loss 1.6796, time 404.77ms, mfu 11.56%
iter 860: loss 1.6927, time 400.30ms, mfu 11.57%
iter 870: loss 1.6379, time 391.05ms, mfu 11.60%
iter 880: loss 1.6375, time 407.78ms, mfu 11.58%
iter 890: loss 1.6155, time 403.30ms, mfu 11.57%
iter 900: loss 1.5782, time 392.41ms, mfu 11.60%
iter 910: loss 1.6095, time 409.06ms, mfu 11.58%
iter 920: loss 1.5608, time 406.56ms, mfu 11.56%
iter 930: loss 1.5650, time 400.21ms, mfu 11.57%
iter 940: loss 1.5960, time 400.80ms, mfu 11.57%
iter 950: loss 1.5786, time 406.26ms, mfu 11.56%
iter 960: loss 1.5444, time 409.91ms, mfu 11.54%
iter 970: loss 1.5605, time 397.62ms, mfu 11.55%
iter 980: loss 1.5313, time 387.89ms, mfu 11.60%
iter 990: loss 1.5195, time 393.01ms, mfu 11.62%
iter 1000: loss 1.5166, time 402.92ms, mfu 11.61%
iter 1010: loss 1.5227, time 403.86ms, mfu 11.60%
iter 1020: loss 1.5447, time 397.37ms, mfu 11.61%
iter 1030: loss 1.4690, time 400.65ms, mfu 11.61%
iter 1040: loss 1.4753, time 414.28ms, mfu 11.57%
iter 1050: loss 1.4788, time 403.70ms, mfu 11.57%
iter 1060: loss 1.4744, time 422.74ms, mfu 11.51%
iter 1070: loss 1.4712, time 395.60ms, mfu 11.53%
iter 1080: loss 1.4333, time 421.59ms, mfu 11.48%
iter 1090: loss 1.4631, time 408.27ms, mfu 11.47%
iter 1100: loss 1.4297, time 418.20ms, mfu 11.44%
iter 1110: loss 1.4107, time 410.90ms, mfu 11.43%
iter 1120: loss 1.4363, time 413.62ms, mfu 11.41%
iter 1130: loss 1.4199, time 405.97ms, mfu 11.41%
iter 1140: loss 1.4093, time 406.08ms, mfu 11.42%
iter 1150: loss 1.4308, time 401.52ms, mfu 11.43%
iter 1160: loss 1.3646, time 414.83ms, mfu 11.41%
iter 1170: loss 1.3784, time 395.45ms, mfu 11.44%
iter 1180: loss 1.4102, time 412.49ms, mfu 11.43%
iter 1190: loss 1.3918, time 413.29ms, mfu 11.41%
iter 1200: loss 1.3543, time 401.85ms, mfu 11.43%
iter 1210: loss 1.3533, time 428.50ms, mfu 11.37%
iter 1220: loss 1.3411, time 411.60ms, mfu 11.36%
iter 1230: loss 1.3718, time 401.06ms, mfu 11.38%
iter 1240: loss 1.3757, time 394.75ms, mfu 11.42%
iter 1250: loss 1.3864, time 392.45ms, mfu 11.47%
iter 1260: loss 1.3099, time 416.73ms, mfu 11.43%
iter 1270: loss 1.3296, time 393.83ms, mfu 11.47%
iter 1280: loss 1.3089, time 409.36ms, mfu 11.46%
iter 1290: loss 1.3125, time 402.53ms, mfu 11.47%
iter 1300: loss 1.3491, time 410.81ms, mfu 11.45%
iter 1310: loss 1.3087, time 404.86ms, mfu 11.46%
iter 1320: loss 1.3116, time 405.51ms, mfu 11.46%
iter 1330: loss 1.2847, time 404.69ms, mfu 11.46%
iter 1340: loss 1.3113, time 403.36ms, mfu 11.47%
iter 1350: loss 1.2847, time 401.49ms, mfu 11.48%
iter 1360: loss 1.2802, time 429.27ms, mfu 11.41%
iter 1370: loss 1.3021, time 392.99ms, mfu 11.46%
iter 1380: loss 1.2753, time 396.36ms, mfu 11.48%
iter 1390: loss 1.2752, time 410.58ms, mfu 11.47%
iter 1400: loss 1.2564, time 402.32ms, mfu 11.48%
iter 1410: loss 1.2828, time 394.43ms, mfu 11.51%
iter 1420: loss 1.2747, time 411.17ms, mfu 11.49%
iter 1430: loss 1.2484, time 391.04ms, mfu 11.53%
iter 1440: loss 1.2318, time 425.14ms, mfu 11.47%
iter 1450: loss 1.2326, time 506.53ms, mfu 11.24%
iter 1460: loss 1.2178, time 405.85ms, mfu 11.26%
iter 1470: loss 1.2187, time 409.44ms, mfu 11.27%
iter 1480: loss 1.2171, time 403.05ms, mfu 11.30%
iter 1490: loss 1.1910, time 416.06ms, mfu 11.28%
iter 1500: loss 1.1864, time 400.75ms, mfu 11.32%
iter 1510: loss 1.2223, time 409.98ms, mfu 11.32%
iter 1520: loss 1.1858, time 410.07ms, mfu 11.32%
iter 1530: loss 1.1883, time 388.82ms, mfu 11.38%
iter 1540: loss 1.2174, time 403.93ms, mfu 11.40%
iter 1550: loss 1.1780, time 418.87ms, mfu 11.37%
iter 1560: loss 1.1690, time 402.94ms, mfu 11.38%
iter 1570: loss 1.2048, time 403.96ms, mfu 11.40%
iter 1580: loss 1.1791, time 401.71ms, mfu 11.41%
iter 1590: loss 1.1654, time 408.85ms, mfu 11.41%
